series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import,Unnamed: 0,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
40010,Ishuzoku Reviewers,TV,12,0,12,0000-00-00,0000-00-00,,7,,0,Completed,,0,,LOW,"🥉: Vim ver só pela grande polêmica gerada, mas me surpreendi positivamente, justamente por não se levar a sério e ser bem exagerado consegue criar uma comedia realmente engraçado. Porém, o mangá é ainda melhor kkkkkk",0,0,1,default,0,1752.0,TV,7.47,1753.0,441.0,"Jan 11, 2020 to Mar 28, 2020",['Passione'],12.0,"['Comedy', 'Fantasy', 'Ecchi']",['Anthropomorphic'],
48753,Jahy-sama wa Kujikenai!,TV,20,0,20,2022-11-14,2022-11-15,,5,,0,Completed,,0,,LOW,"Não é ruim, tem seus momentos engraçados, a premissa funciona para uma comédia e no geral é um entretenimento aceitável",0,0,1,default,0,,,,,,,,,,,
39534,Jibaku Shounen Hanako-kun,TV,12,0,12,2021-10-17,2021-10-18,,7,,0,Completed,,0,,LOW,Despretensioso e Engraçado com um design de personagem bem interessante,0,0,1,default,0,792.0,TV,7.85,793.0,376.0,"Jan 10, 2020 to Mar 27, 2020",['Lerche'],12.0,"['Comedy', 'Supernatural']",['School'],Shounen
52619,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,TV,12,0,12,2023-07-05,2023-09-20,,2,,0,Completed,,0,,LOW,"Imaginar que alguém aprovou isso me deixa desanimado com o futuro da indústria. Ok, não é nem de longe o pior anime que eu já vi, mas claramente eles esticaram muito uma piada (ruim) que caberia em um episódio.",0,0,0,default,0,,,,,,,,,,,
46569,Jigokuraku,TV,13,0,13,2023-04-01,2023-07-01,,3,,0,Completed,,0,,LOW,"""Gente andando no mato enquanto nada de bom acontece"". Treine centenas de anos um estilo de luta e seja derrotado por um cara que nem sabia que isso existia 2 minutos atrás. Mas esses últimos 5 minutos... São finos",0,0,0,default,0,,,,,,,,,,,
56230,Jiisan Baasan Wakagaeru,TV,11,0,11,2024-04-07,2024-06-16,,7,,0,Completed,,0,,LOW,"Engraçadinho, gostosinho de assistir e tem personagens interessantes e alguns momentos realmente tocantes, como o final (ABSOLUTE CINEMA)",0,0,1,default,0,,,,,,,,,,,
53621,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,TV,13,0,13,2023-04-02,2023-06-25,,7,,0,Completed,,0,,LOW,"(Ou ""Meu primeiro amigo é um tabacudo"")
Vou resumir em uma palavra: Fofo",0,0,0,disallow,0,,,,,,,,,,,
570,Jin-Rou,Movie,1,0,1,2024-01-26,2024-01-26,,9,,0,Completed,,0,,LOW,"🥈🥉: Esse filme é visualmente lindo, principalmente seus cenários. E para complementar, ainda tem os fusquinhas, o que mais eu poderia pedir? Por outro lado, seu único defeito é que nenhum dos personagens é muito interessante.",0,0,1,default,0,923.0,Movie,7.78,924.0,1271.0,"Jun 3, 2000",['Production I.G'],1.0,"['Drama', 'Romance']","['Adult Cast', 'Detective', 'Military', 'Psychological']",
14719,JoJo no Kimyou na Bouken (TV),TV,26,0,26,0000-00-00,0000-00-00,,7,,0,Completed,,0,,LOW,"🥉:A parte um é terrivelmente chata. Já a parte dois é GENIAL, tudo funciona perfeitamente bem, um casamento perfeito entre protagonista e história (Nota: 9)",0,0,1,default,0,683.0,TV,7.92,684.0,65.0,"Oct 6, 2012 to Apr 6, 2013",['David Production'],26.0,"['Action', 'Adventure', 'Supernatural']",['Vampire'],Shounen
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,0,24,0000-00-00,0000-00-00,,6,,0,Completed,,0,,LOW,O Jotaro definitivamente não é um bom protagonista mas o elenco é muito forte,0,0,1,default,0,447.0,TV,8.1,448.0,115.0,"Apr 5, 2014 to Sep 13, 2014",['David Production'],24.0,"['Action', 'Adventure', 'Drama', 'Supernatural']",['None'],Shounen
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,0,24,0000-00-00,0000-00-00,,6,,0,Completed,,0,,LOW,Não imaginava que fosse me apegar tanto a personagens de Jojo,0,0,1,default,0,143.0,TV,8.44,144.0,133.0,"Jan 10, 2015 to Jun 20, 2015",['David Production'],24.0,"['Action', 'Adventure', 'Drama', 'Supernatural']",['None'],Shounen
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,0,39,2021-11-19,2021-12-02,,8,,0,Completed,,0,,LOW,"Ótimos personagens, o melhor vilão de Jojo e um destaque especial no clima criado na cidade de Morioh",0,0,1,default,0,119.0,TV,8.5,120.0,132.0,"Apr 2, 2016 to Dec 24, 2016",['David Production'],39.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['None'],Shounen
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,0,39,2023-12-10,2023-12-11,,8,,0,Completed,,0,,LOW,"🥉🥈: A temática dessa temporada me agrada muito, além de que esse, na minha visão, é o grupo mais orgânico de Jojo até aqui, sinto que o Giorno compartilha muito mais o seu protagonismo com os outros. Porém é uma pena que o Diavolo seja um vi",0,0,1,default,0,78.0,TV,8.58,79.0,159.0,"Oct 6, 2018 to Jul 28, 2019",['David Production'],39.0,"['Action', 'Adventure']",['Organized Crime'],Shounen
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,12,0,12,2023-12-11,2023-12-12,,7,,0,Completed,,0,,LOW,"🥈: A questão de se passar em um único cenário poderia ser um fator de desinteresse grande na história, mas o Araki realmente se superou na criatividade de imaginar diferentes situações por aqui. Só me incomoda um pouco essa volta para o Dio, de ",0,0,1,default,0,145.0,ONA,8.43,146.0,584.0,"Dec 1, 2021",['David Production'],12.0,"['Action', 'Adventure']",['None'],Shounen
51367,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA,12,0,12,2023-12-12,2023-12-13,,6,,0,Completed,,0,,LOW,"A FF resume minha experiência com essa temporada, uma boa personagem que não foi bem aproveitada graças ao ritmo bizarramente acelerado.",0,0,1,default,0,,,,,,,,,,,
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,0,14,2023-12-13,2023-12-13,,8,,0,Completed,,0,,LOW,"O Araki brincou com fogo aqui, meu amigo,estragar o final e abrir margem para uma nova história estavam separados por uma linha tênue. Mas acredito que de forma geral o saldo foi positivo, o único problema é que a história é muito corrida.",0,0,1,default,0,,,,,,,,,,,
31405,Joker Game,TV,12,0,12,0000-00-00,0000-00-00,,2,,0,Completed,,0,,LOW,Não tem nada de marcante além de ser muito tosco,0,0,1,default,0,,,,,,,,,,,
40748,Jujutsu Kaisen,TV,24,0,24,0000-00-00,0000-00-00,,8,,0,Completed,,0,,LOW,🥈: Mesmo para um uma obra despretensiosa a qualidade do texto é básica‚ tem boas batalhas e personagens carismáticos,0,0,1,default,0,1076.0,ONA,7.71,1077.0,2849.0,"Dec 3, 2018 to Dec 8, 2018",['Yokohama Animation Lab'],3.0,['Fantasy'],['School'],Shounen
48561,Jujutsu Kaisen 0 Movie,Movie,1,0,1,2023-02-22,2023-02-22,,6,,0,Completed,,0,,LOW,"Uma ótima introdução (ou continuação) de Jujutsu, ficou claro como foi investida uma grana para fazer esse filme, a direção de arte é um espetáculo",0,0,1,default,0,100.0,Movie,8.53,101.0,496.0,"Dec 24, 2021",['MAPPA'],1.0,"['Action', 'Fantasy']",['School'],Shounen
51009,Jujutsu Kaisen 2nd Season,TV,23,0,23,2023-07-06,2024-01-19,,9,,0,Completed,,0,,LOW,"🥉🥈: Tenho que dar o braço a torcer e admitir que a MAPPA fez um baita trabalho nessa adaptação, fiquei assustado com a qualidade. Dito isso, o trio de protagonistas umas portas sem graça, e os personagens secundários são muito melhores",0,0,1,default,0,,,,,,,,,,,
2556,Jungle Taitei (1989),TV,52,0,52,2019-02-16,2019-06-10,,3,,0,Completed,,0,,LOW,Vale a pena ver com uma criança pequena,0,0,1,default,0,,,,,,,,,,,
2264,Jungle Taitei Movie (1997),Movie,1,0,1,0000-00-00,0000-00-00,,3,,0,Completed,,0,,LOW,"Não,Rei Leão não copiou Kimba o Leão branco https://www.youtube.com/watch?v=qh8eSvp_KDI",0,0,1,default,0,,,,,,,,,,,
